feature,Hostility_importances,N1_importances,kDN_importances,Hostility_importances_norm,N1_importances_norm,kDN_importances_norm,count_vars,Hostility_removed_count,N1_removed_count,kDN_removed_count,fold,model
f49,-0.030416666666666647,0.03606349206349191,-0.0029166666666667895,-0.0008449074074074068,0.0010017636684303307,-8.101851851852193e-05,36.0,1.0,1.0,1.0,2,KNN
f5,0.07416666666666666,0.020011904761904953,-0.011833333333333251,0.0006804281345565748,0.0001835954565312381,-0.00010856269113149772,109.0,1.0,1.0,1.0,2,KNN
f50,0.11375000000000002,-0.01820138888888878,-0.012666666666666715,0.001006637168141593,-0.00016107423795476796,-0.00011209439528023641,113.0,1.0,1.0,1.0,2,KNN
f51,0.0004166666666666763,-0.002291666666666803,0.005333333333333357,7.861635220125967e-06,-4.323899371069439e-05,0.0001006289308176105,53.0,1.0,1.0,1.0,2,KNN
f52,0.04625000000000001,-0.0037916666666666377,0.003750000000000031,0.0008564814814814817,-7.021604938271551e-05,6.944444444444501e-05,54.0,1.0,1.0,1.0,2,KNN
f53,0.0004166666666666208,-0.008374007936507999,-0.0011666666666666492,1.3440860215052283e-05,-0.0002701292882744516,-3.763440860214997e-05,31.0,1.0,1.0,1.0,2,KNN
f54,-0.034999999999999976,-0.021868055555555488,-0.0021666666666667056,-0.0018421052631578934,-0.0011509502923976573,-0.00011403508771930029,19.0,1.0,1.0,1.0,2,KNN
f55,0.04458333333333331,0.2089980158730162,-0.00024999999999997247,0.0008573717948717944,0.004019192612942619,-4.8076923076917785e-06,52.0,1.0,1.0,1.0,2,KNN
f56,0.0008333333333332971,0.03361061507936519,-0.0020000000000000018,1.3888888888888285e-05,0.0005601769179894198,-3.333333333333336e-05,60.0,1.0,1.0,1.0,2,KNN
f57,,,,,,,,,,,2,KNN
f58,,,,,,,,,,,2,KNN
f59,0.04916666666666658,-0.0014236111111111671,0.37458333333333343,0.0003053830227743266,-8.84230503795756e-06,0.0023266045548654252,161.0,1.0,1.0,0.0,2,KNN
f6,1.4612500000000008,0.9740347222222221,0.8944166666666661,0.004093137254901963,0.0027283885776532833,0.002505368814192342,357.0,0.0,0.0,0.0,2,KNN
f60,-0.004166666666666652,0.009023809523809545,0.1054166666666666,-5.144032921810681e-05,0.00011140505584950056,0.0013014403292181062,81.0,1.0,1.0,1.0,2,KNN
f61,-0.004583333333333328,0.1380674603174603,0.010416666666666685,-9.166666666666656e-05,0.002761349206349206,0.0002083333333333337,50.0,1.0,1.0,1.0,2,KNN
f62,0.02041666666666664,0.38667956349206345,0.0058333333333333015,0.00020833333333333305,0.003945709831551668,5.95238095238092e-05,98.0,1.0,1.0,1.0,2,KNN
f63,,,,,,,,,,,2,KNN
f64,-0.016249999999999987,0.01713888888888887,0.007583333333333275,-0.0005241935483870963,0.0005528673835125442,0.00024462365591397664,31.0,1.0,1.0,1.0,2,KNN
f65,0.04583333333333334,-0.005241071428571387,0.01683333333333331,0.0010912698412698413,-0.00012478741496598538,0.0004007936507936503,42.0,1.0,1.0,1.0,2,KNN
f66,-0.016666666666666663,-0.006562499999999971,-0.01091666666666663,-0.00045045045045045035,-0.00017736486486486408,-0.00029504504504504405,37.0,1.0,1.0,1.0,2,KNN
f67,,,,,,,,,,,2,KNN
f68,-0.01541666666666669,0.021086309523809577,0.03233333333333305,-0.00020555555555555586,0.00028115079365079437,0.0004311111111111073,75.0,1.0,1.0,1.0,2,KNN
f69,-0.0008333333333333526,0.8647946428571432,0.7746666666666673,-3.3875338753388317e-06,0.003515425377468062,0.0031490514905149077,246.0,1.0,0.0,0.0,2,KNN
